#KD=    4.140000e+02 [muM]
#Ebind= 1.480000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812330e-10
1.812695e-10 2.234775e-14 1.812244e-10
1.812695e-10 2.755135e-14 1.812138e-10
1.812695e-10 3.396660e-14 1.812008e-10
1.812695e-10 4.187561e-14 1.811847e-10
1.812695e-10 5.162621e-14 1.811643e-10
1.812695e-10 6.364720e-14 1.811398e-10
1.812695e-10 7.846725e-14 1.811097e-10
1.812695e-10 9.673809e-14 1.810726e-10
1.812695e-10 1.192632e-13 1.810268e-10
1.812695e-10 1.470333e-13 1.809704e-10
1.812695e-10 1.812695e-13 1.809008e-10
1.812695e-10 2.234775e-13 1.808150e-10
1.812695e-10 2.755135e-13 1.807092e-10
1.812695e-10 3.396660e-13 1.805789e-10
1.812695e-10 4.187561e-13 1.804181e-10
1.812695e-10 5.162621e-13 1.802200e-10
1.812695e-10 6.364720e-13 1.799757e-10
1.812695e-10 7.846725e-13 1.796746e-10
1.812695e-10 9.673809e-13 1.793034e-10
1.812695e-10 1.192632e-12 1.788458e-10
1.812695e-10 1.470333e-12 1.782817e-10
1.812695e-10 1.812695e-12 1.775863e-10
1.812695e-10 2.234775e-12 1.767292e-10
1.812695e-10 2.755135e-12 1.756728e-10
1.812695e-10 3.396660e-12 1.743708e-10
1.812695e-10 4.187561e-12 1.727659e-10
1.812695e-10 5.162621e-12 1.707880e-10
1.812695e-10 6.364720e-12 1.683507e-10
1.812695e-10 7.846725e-12 1.653477e-10
1.812695e-10 9.673809e-12 1.616482e-10
1.812695e-10 1.192632e-11 1.570914e-10
1.812695e-10 1.470333e-11 1.514799e-10
1.812695e-10 1.812695e-11 1.445718e-10
1.812695e-10 2.234775e-11 1.360706e-10
1.812695e-10 2.755135e-11 1.256136e-10
1.812695e-10 3.396660e-11 1.127614e-10
1.812695e-10 4.187561e-11 9.698170e-11
1.812695e-10 5.162621e-11 7.764505e-11
1.812695e-10 6.364720e-11 5.405725e-11
1.812695e-10 7.846725e-11 2.591778e-11
1.812695e-10 9.673809e-11 3.495673e-12
1.812695e-10 1.192632e-10 7.318662e-13
1.812695e-10 1.470333e-10 2.291545e-13
1.812695e-10 1.812695e-10 5.970667e-14
1.812695e-10 2.234775e-10 1.961378e-14
1.812695e-10 2.755135e-10 9.657490e-15
1.812695e-10 3.396660e-10 5.801042e-15
1.812695e-10 4.187561e-10 3.869204e-15
1.812695e-10 5.162621e-10 3.076816e-15
1.812695e-10 6.364720e-10 1.771142e-15
1.812695e-10 7.846725e-10 1.693839e-15
1.812695e-10 9.673809e-10 1.072114e-15
1.812695e-10 1.192632e-09 1.002351e-15
1.812695e-10 1.470333e-09 1.002351e-15
1.812695e-10 1.812695e-09 6.914883e-16
1.812695e-10 2.234775e-09 3.457442e-16
1.812695e-10 2.755135e-09 3.457442e-16
1.812695e-10 3.396660e-09 3.457442e-16
1.812695e-10 4.187561e-09 1.728721e-16
1.812695e-10 5.162621e-09 1.728721e-16
1.812695e-10 6.364720e-09 1.728721e-16
1.812695e-10 7.846725e-09 8.643604e-17
1.812695e-10 9.673809e-09 8.643604e-17
1.812695e-10 1.192632e-08 8.643604e-17
1.812695e-10 1.470333e-08 8.643604e-17
1.812695e-10 1.812695e-08 4.321802e-17
1.812695e-10 2.234775e-08 4.321802e-17
1.812695e-10 2.755135e-08 4.321802e-17
1.812695e-10 3.396660e-08 2.160901e-17
1.812695e-10 4.187561e-08 2.160901e-17
1.812695e-10 5.162621e-08 2.160901e-17
1.812695e-10 6.364720e-08 1.080451e-17
1.812695e-10 7.846725e-08 1.080451e-17
1.812695e-10 9.673809e-08 1.080451e-17
1.812695e-10 1.192632e-07 5.402253e-18
1.812695e-10 1.470333e-07 5.402253e-18
1.812695e-10 1.812695e-07 5.402253e-18
1.812695e-10 2.234775e-07 5.402253e-18
1.812695e-10 2.755135e-07 2.701126e-18
1.812695e-10 3.396660e-07 2.701126e-18
1.812695e-10 4.187561e-07 2.701126e-18
1.812695e-10 5.162621e-07 1.350563e-18
1.812695e-10 6.364720e-07 1.350563e-18
1.812695e-10 7.846725e-07 1.350563e-18
1.812695e-10 9.673809e-07 6.752816e-19
1.812695e-10 1.192632e-06 6.752816e-19
1.812695e-10 1.470333e-06 6.752816e-19
1.812695e-10 1.812695e-06 6.752816e-19
1.812695e-10 2.234775e-06 3.376408e-19
1.812695e-10 2.755135e-06 3.376408e-19
1.812695e-10 3.396660e-06 3.376408e-19
1.812695e-10 4.187561e-06 1.688204e-19
1.812695e-10 5.162621e-06 1.688204e-19
1.812695e-10 6.364720e-06 1.688204e-19
1.812695e-10 7.846725e-06 8.441020e-20
1.812695e-10 9.673809e-06 8.441020e-20
1.812695e-10 1.192632e-05 8.441020e-20
1.812695e-10 1.470333e-05 8.441020e-20
1.812695e-10 1.812695e-05 4.220510e-20
