#KD=    4.140000e+02 [muM]
#Ebind= 1.180000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812692e-10
1.812695e-10 2.234775e-14 1.812692e-10
1.812695e-10 2.755135e-14 1.812692e-10
1.812695e-10 3.396660e-14 1.812691e-10
1.812695e-10 4.187561e-14 1.812690e-10
1.812695e-10 5.162621e-14 1.812692e-10
1.812695e-10 6.364720e-14 1.812691e-10
1.812695e-10 7.846725e-14 1.812689e-10
1.812695e-10 9.673809e-14 1.812687e-10
1.812695e-10 1.192632e-13 1.812684e-10
1.812695e-10 1.470333e-13 1.812681e-10
1.812695e-10 1.812695e-13 1.812677e-10
1.812695e-10 2.234775e-13 1.812672e-10
1.812695e-10 2.755135e-13 1.812666e-10
1.812695e-10 3.396660e-13 1.812658e-10
1.812695e-10 4.187561e-13 1.812649e-10
1.812695e-10 5.162621e-13 1.812637e-10
1.812695e-10 6.364720e-13 1.812623e-10
1.812695e-10 7.846725e-13 1.812606e-10
1.812695e-10 9.673809e-13 1.812584e-10
1.812695e-10 1.192632e-12 1.812558e-10
1.812695e-10 1.470333e-12 1.812525e-10
1.812695e-10 1.812695e-12 1.812485e-10
1.812695e-10 2.234775e-12 1.812435e-10
1.812695e-10 2.755135e-12 1.812374e-10
1.812695e-10 3.396660e-12 1.812298e-10
1.812695e-10 4.187561e-12 1.812205e-10
1.812695e-10 5.162621e-12 1.812090e-10
1.812695e-10 6.364720e-12 1.811948e-10
1.812695e-10 7.846725e-12 1.811768e-10
1.812695e-10 9.673809e-12 1.811553e-10
1.812695e-10 1.192632e-11 1.811287e-10
1.812695e-10 1.470333e-11 1.810961e-10
1.812695e-10 1.812695e-11 1.810558e-10
1.812695e-10 2.234775e-11 1.810062e-10
1.812695e-10 2.755135e-11 1.809450e-10
1.812695e-10 3.396660e-11 1.808697e-10
1.812695e-10 4.187561e-11 1.807770e-10
1.812695e-10 5.162621e-11 1.806627e-10
1.812695e-10 6.364720e-11 1.805221e-10
1.812695e-10 7.846725e-11 1.803490e-10
1.812695e-10 9.673809e-11 1.801361e-10
1.812695e-10 1.192632e-10 1.798742e-10
1.812695e-10 1.470333e-10 1.795525e-10
1.812695e-10 1.812695e-10 1.791574e-10
1.812695e-10 2.234775e-10 1.786727e-10
1.812695e-10 2.755135e-10 1.780787e-10
1.812695e-10 3.396660e-10 1.773518e-10
1.812695e-10 4.187561e-10 1.764638e-10
1.812695e-10 5.162621e-10 1.753812e-10
1.812695e-10 6.364720e-10 1.740643e-10
1.812695e-10 7.846725e-10 1.724675e-10
1.812695e-10 9.673809e-10 1.705386e-10
1.812695e-10 1.192632e-09 1.682188e-10
1.812695e-10 1.470333e-09 1.654439e-10
1.812695e-10 1.812695e-09 1.621457e-10
1.812695e-10 2.234775e-09 1.582555e-10
1.812695e-10 2.755135e-09 1.537078e-10
1.812695e-10 3.396660e-09 1.484473e-10
1.812695e-10 4.187561e-09 1.424357e-10
1.812695e-10 5.162621e-09 1.356598e-10
1.812695e-10 6.364720e-09 1.281424e-10
1.812695e-10 7.846725e-09 1.199451e-10
1.812695e-10 9.673809e-09 1.111741e-10
1.812695e-10 1.192632e-08 1.019773e-10
1.812695e-10 1.470333e-08 9.253646e-11
1.812695e-10 1.812695e-08 8.305410e-11
