#KD=    4.140000e+02 [muM]
#Ebind= 1.140000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812679e-10
1.812695e-10 2.234775e-14 1.812675e-10
1.812695e-10 2.755135e-14 1.812669e-10
1.812695e-10 3.396660e-14 1.812662e-10
1.812695e-10 4.187561e-14 1.812654e-10
1.812695e-10 5.162621e-14 1.812644e-10
1.812695e-10 6.364720e-14 1.812631e-10
1.812695e-10 7.846725e-14 1.812615e-10
1.812695e-10 9.673809e-14 1.812596e-10
1.812695e-10 1.192632e-13 1.812572e-10
1.812695e-10 1.470333e-13 1.812543e-10
1.812695e-10 1.812695e-13 1.812506e-10
1.812695e-10 2.234775e-13 1.812462e-10
1.812695e-10 2.755135e-13 1.812407e-10
1.812695e-10 3.396660e-13 1.812339e-10
1.812695e-10 4.187561e-13 1.812255e-10
1.812695e-10 5.162621e-13 1.812152e-10
1.812695e-10 6.364720e-13 1.812025e-10
1.812695e-10 7.846725e-13 1.811868e-10
1.812695e-10 9.673809e-13 1.811669e-10
1.812695e-10 1.192632e-12 1.811431e-10
1.812695e-10 1.470333e-12 1.811138e-10
1.812695e-10 1.812695e-12 1.810776e-10
1.812695e-10 2.234775e-12 1.810330e-10
1.812695e-10 2.755135e-12 1.809781e-10
1.812695e-10 3.396660e-12 1.809105e-10
1.812695e-10 4.187561e-12 1.808272e-10
1.812695e-10 5.162621e-12 1.807245e-10
1.812695e-10 6.364720e-12 1.805982e-10
1.812695e-10 7.846725e-12 1.804426e-10
1.812695e-10 9.673809e-12 1.802512e-10
1.812695e-10 1.192632e-11 1.800157e-10
1.812695e-10 1.470333e-11 1.797263e-10
1.812695e-10 1.812695e-11 1.793704e-10
1.812695e-10 2.234775e-11 1.789334e-10
1.812695e-10 2.755135e-11 1.783973e-10
1.812695e-10 3.396660e-11 1.777405e-10
1.812695e-10 4.187561e-11 1.769368e-10
1.812695e-10 5.162621e-11 1.759553e-10
1.812695e-10 6.364720e-11 1.747589e-10
1.812695e-10 7.846725e-11 1.733045e-10
1.812695e-10 9.673809e-11 1.715422e-10
1.812695e-10 1.192632e-10 1.694147e-10
1.812695e-10 1.470333e-10 1.668585e-10
1.812695e-10 1.812695e-10 1.638044e-10
1.812695e-10 2.234775e-10 1.601802e-10
1.812695e-10 2.755135e-10 1.559139e-10
1.812695e-10 3.396660e-10 1.509399e-10
1.812695e-10 4.187561e-10 1.452058e-10
1.812695e-10 5.162621e-10 1.386816e-10
1.812695e-10 6.364720e-10 1.313687e-10
1.812695e-10 7.846725e-10 1.233117e-10
1.812695e-10 9.673809e-10 1.146005e-10
1.812695e-10 1.192632e-09 1.053746e-10
1.812695e-10 1.470333e-09 9.581583e-11
1.812695e-10 1.812695e-09 8.613646e-11
1.812695e-10 2.234775e-09 7.655989e-11
1.812695e-10 2.755135e-09 6.730012e-11
1.812695e-10 3.396660e-09 5.854268e-11
1.812695e-10 4.187561e-09 5.043100e-11
1.812695e-10 5.162621e-09 4.305997e-11
1.812695e-10 6.364720e-09 3.647652e-11
1.812695e-10 7.846725e-09 3.068556e-11
1.812695e-10 9.673809e-09 2.565895e-11
1.812695e-10 1.192632e-08 2.134600e-11
1.812695e-10 1.470333e-08 1.768011e-11
1.812695e-10 1.812695e-08 1.458944e-11
1.812695e-10 2.234775e-08 1.200254e-11
1.812695e-10 2.755135e-08 9.849785e-12
1.812695e-10 3.396660e-08 8.065077e-12
1.812695e-10 4.187561e-08 6.592679e-12
1.812695e-10 5.162621e-08 5.381697e-12
1.812695e-10 6.364720e-08 4.388120e-12
1.812695e-10 7.846725e-08 3.573737e-12
1.812695e-10 9.673809e-08 2.908721e-12
1.812695e-10 1.192632e-07 2.365982e-12
1.812695e-10 1.470333e-07 1.923445e-12
1.812695e-10 1.812695e-07 1.562878e-12
1.812695e-10 2.234775e-07 1.269495e-12
1.812695e-10 2.755135e-07 1.030941e-12
1.812695e-10 3.396660e-07 8.369778e-13
1.812695e-10 4.187561e-07 6.793559e-13
1.812695e-10 5.162621e-07 5.513556e-13
1.812695e-10 6.364720e-07 4.473972e-13
1.812695e-10 7.846725e-07 3.629855e-13
1.812695e-10 9.673809e-07 2.944739e-13
1.812695e-10 1.192632e-06 2.388659e-13
1.812695e-10 1.470333e-06 1.937354e-13
1.812695e-10 1.812695e-06 1.571146e-13
1.812695e-10 2.234775e-06 1.274013e-13
1.812695e-10 2.755135e-06 1.032928e-13
1.812695e-10 3.396660e-06 8.373315e-14
1.812695e-10 4.187561e-06 6.786544e-14
1.812695e-10 5.162621e-06 5.499260e-14
1.812695e-10 6.364720e-06 4.455791e-14
1.812695e-10 7.846725e-06 3.607853e-14
1.812695e-10 9.673809e-06 2.920672e-14
1.812695e-10 1.192632e-05 2.363241e-14
1.812695e-10 1.470333e-05 1.911070e-14
1.812695e-10 1.812695e-05 1.544286e-14
1.812695e-09 1.812695e-14 1.812683e-09
1.812695e-09 2.234775e-14 1.812681e-09
1.812695e-09 2.755135e-14 1.812677e-09
1.812695e-09 3.396660e-14 1.812673e-09
1.812695e-09 4.187561e-14 1.812668e-09
1.812695e-09 5.162621e-14 1.812662e-09
1.812695e-09 6.364720e-14 1.812654e-09
1.812695e-09 7.846725e-14 1.812645e-09
1.812695e-09 9.673809e-14 1.812633e-09
1.812695e-09 1.192632e-13 1.812619e-09
1.812695e-09 1.470333e-13 1.812602e-09
1.812695e-09 1.812695e-13 1.812580e-09
1.812695e-09 2.234775e-13 1.812553e-09
1.812695e-09 2.755135e-13 1.812520e-09
1.812695e-09 3.396660e-13 1.812479e-09
1.812695e-09 4.187561e-13 1.812429e-09
