#KD=    4.140000e+02 [muM]
#Ebind= 1.180000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812677e-10
1.812695e-10 2.234775e-14 1.812672e-10
1.812695e-10 2.755135e-14 1.812666e-10
1.812695e-10 3.396660e-14 1.812659e-10
1.812695e-10 4.187561e-14 1.812649e-10
1.812695e-10 5.162621e-14 1.812638e-10
1.812695e-10 6.364720e-14 1.812624e-10
1.812695e-10 7.846725e-14 1.812607e-10
1.812695e-10 9.673809e-14 1.812586e-10
1.812695e-10 1.192632e-13 1.812559e-10
1.812695e-10 1.470333e-13 1.812527e-10
1.812695e-10 1.812695e-13 1.812487e-10
1.812695e-10 2.234775e-13 1.812438e-10
1.812695e-10 2.755135e-13 1.812377e-10
1.812695e-10 3.396660e-13 1.812303e-10
1.812695e-10 4.187561e-13 1.812211e-10
1.812695e-10 5.162621e-13 1.812097e-10
1.812695e-10 6.364720e-13 1.811957e-10
1.812695e-10 7.846725e-13 1.811779e-10
1.812695e-10 9.673809e-13 1.811566e-10
1.812695e-10 1.192632e-12 1.811304e-10
1.812695e-10 1.470333e-12 1.810981e-10
1.812695e-10 1.812695e-12 1.810583e-10
1.812695e-10 2.234775e-12 1.810093e-10
1.812695e-10 2.755135e-12 1.809488e-10
1.812695e-10 3.396660e-12 1.808744e-10
1.812695e-10 4.187561e-12 1.807827e-10
1.812695e-10 5.162621e-12 1.806698e-10
1.812695e-10 6.364720e-12 1.805308e-10
1.812695e-10 7.846725e-12 1.803597e-10
1.812695e-10 9.673809e-12 1.801491e-10
1.812695e-10 1.192632e-11 1.798902e-10
1.812695e-10 1.470333e-11 1.795721e-10
1.812695e-10 1.812695e-11 1.791811e-10
1.812695e-10 2.234775e-11 1.787012e-10
1.812695e-10 2.755135e-11 1.781128e-10
1.812695e-10 3.396660e-11 1.773924e-10
1.812695e-10 4.187561e-11 1.765116e-10
1.812695e-10 5.162621e-11 1.754370e-10
1.812695e-10 6.364720e-11 1.741289e-10
1.812695e-10 7.846725e-11 1.725411e-10
