#KD=    4.140000e+02 [muM]
#Ebind= 1.180000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812686e-10
1.812695e-10 2.234775e-14 1.812683e-10
1.812695e-10 2.755135e-14 1.812679e-10
1.812695e-10 3.396660e-14 1.812675e-10
1.812695e-10 4.187561e-14 1.812669e-10
1.812695e-10 5.162621e-14 1.812663e-10
1.812695e-10 6.364720e-14 1.812654e-10
1.812695e-10 7.846725e-14 1.812644e-10
1.812695e-10 9.673809e-14 1.812632e-10
1.812695e-10 1.192632e-13 1.812616e-10
1.812695e-10 1.470333e-13 1.812597e-10
1.812695e-10 1.812695e-13 1.812573e-10
1.812695e-10 2.234775e-13 1.812544e-10
1.812695e-10 2.755135e-13 1.812508e-10
1.812695e-10 3.396660e-13 1.812464e-10
1.812695e-10 4.187561e-13 1.812410e-10
1.812695e-10 5.162621e-13 1.812342e-10
1.812695e-10 6.364720e-13 1.812260e-10
1.812695e-10 7.846725e-13 1.812157e-10
1.812695e-10 9.673809e-13 1.812032e-10
1.812695e-10 1.192632e-12 1.811876e-10
1.812695e-10 1.470333e-12 1.811679e-10
1.812695e-10 1.812695e-12 1.811443e-10
1.812695e-10 2.234775e-12 1.811153e-10
1.812695e-10 2.755135e-12 1.810795e-10
1.812695e-10 3.396660e-12 1.810353e-10
1.812695e-10 4.187561e-12 1.809810e-10
1.812695e-10 5.162621e-12 1.809140e-10
1.812695e-10 6.364720e-12 1.808315e-10
1.812695e-10 7.846725e-12 1.807298e-10
1.812695e-10 9.673809e-12 1.806047e-10
1.812695e-10 1.192632e-11 1.804507e-10
1.812695e-10 1.470333e-11 1.802611e-10
1.812695e-10 1.812695e-11 1.800279e-10
1.812695e-10 2.234775e-11 1.797413e-10
1.812695e-10 2.755135e-11 1.793890e-10
1.812695e-10 3.396660e-11 1.789568e-10
1.812695e-10 4.187561e-11 1.784263e-10
1.812695e-10 5.162621e-11 1.777764e-10
1.812695e-10 6.364720e-11 1.769814e-10
1.812695e-10 7.846725e-11 1.760106e-10
1.812695e-10 9.673809e-11 1.748277e-10
1.812695e-10 1.192632e-10 1.733902e-10
1.812695e-10 1.470333e-10 1.716489e-10
1.812695e-10 1.812695e-10 1.695478e-10
1.812695e-10 2.234775e-10 1.670246e-10
1.812695e-10 2.755135e-10 1.640115e-10
1.812695e-10 3.396660e-10 1.604381e-10
1.812695e-10 4.187561e-10 1.562344e-10
1.812695e-10 5.162621e-10 1.513362e-10
1.812695e-10 6.364720e-10 1.456925e-10
1.812695e-10 7.846725e-10 1.392737e-10
1.812695e-10 9.673809e-10 1.320801e-10
1.812695e-10 1.192632e-09 1.241529e-10
1.812695e-10 1.470333e-09 1.155764e-10
1.812695e-10 1.812695e-09 1.064818e-10
1.812695e-10 2.234775e-09 9.704137e-11
1.812695e-10 2.755135e-09 8.745714e-11
1.812695e-10 3.396660e-09 7.794398e-11
1.812695e-10 4.187561e-09 6.871046e-11
1.812695e-10 5.162621e-09 5.994075e-11
1.812695e-10 6.364720e-09 5.178101e-11
1.812695e-10 7.846725e-09 4.433219e-11
1.812695e-10 9.673809e-09 3.764914e-11
1.812695e-10 1.192632e-08 3.174521e-11
1.812695e-10 1.470333e-08 2.660005e-11
1.812695e-10 1.812695e-08 2.216935e-11
1.812695e-10 2.234775e-08 1.839125e-11
1.812695e-10 2.755135e-08 1.519701e-11
1.812695e-10 3.396660e-08 1.251691e-11
1.812695e-10 4.187561e-08 1.028193e-11
1.812695e-10 5.162621e-08 8.425844e-12
1.812695e-10 6.364720e-08 6.892286e-12
1.812695e-10 7.846725e-08 5.629154e-12
1.812695e-10 9.673809e-08 4.592181e-12
1.812695e-10 1.192632e-07 3.741446e-12
1.812695e-10 1.470333e-07 3.046222e-12
1.812695e-10 1.812695e-07 2.478311e-12
1.812695e-10 2.234775e-07 2.015188e-12
1.812695e-10 2.755135e-07 1.637768e-12
1.812695e-10 3.396660e-07 1.330509e-12
1.812695e-10 4.187561e-07 1.080608e-12
1.812695e-10 5.162621e-07 8.773953e-13
1.812695e-10 6.364720e-07 7.122262e-13
1.812695e-10 7.846725e-07 5.780660e-13
1.812695e-10 9.673809e-07 4.690990e-13
1.812695e-10 1.192632e-06 3.806159e-13
1.812695e-10 1.470333e-06 3.087872e-13
1.812695e-10 1.812695e-06 2.504858e-13
1.812695e-10 2.234775e-06 2.031681e-13
1.812695e-10 2.755135e-06 1.647699e-13
1.812695e-10 3.396660e-06 1.336135e-13
1.812695e-10 4.187561e-06 1.083337e-13
1.812695e-10 5.162621e-06 8.782333e-14
1.812695e-10 6.364720e-06 7.118387e-14
1.812695e-10 7.846725e-06 5.768485e-14
1.812695e-10 9.673809e-06 4.673389e-14
1.812695e-10 1.192632e-05 3.785037e-14
1.812695e-10 1.470333e-05 3.064407e-14
1.812695e-10 1.812695e-05 2.479840e-14
1.812695e-09 1.812695e-14 1.812686e-09
1.812695e-09 2.234775e-14 1.812684e-09
1.812695e-09 2.755135e-14 1.812681e-09
1.812695e-09 3.396660e-14 1.812678e-09
1.812695e-09 4.187561e-14 1.812674e-09
1.812695e-09 5.162621e-14 1.812669e-09
1.812695e-09 6.364720e-14 1.812663e-09
1.812695e-09 7.846725e-14 1.812656e-09
1.812695e-09 9.673809e-14 1.812647e-09
1.812695e-09 1.192632e-13 1.812635e-09
1.812695e-09 1.470333e-13 1.812621e-09
1.812695e-09 1.812695e-13 1.812604e-09
1.812695e-09 2.234775e-13 1.812583e-09
1.812695e-09 2.755135e-13 1.812557e-09
1.812695e-09 3.396660e-13 1.812525e-09
1.812695e-09 4.187561e-13 1.812486e-09
1.812695e-09 5.162621e-13 1.812437e-09
1.812695e-09 6.364720e-13 1.812377e-09
1.812695e-09 7.846725e-13 1.812303e-09
1.812695e-09 9.673809e-13 1.812212e-09
1.812695e-09 1.192632e-12 1.812099e-09
1.812695e-09 1.470333e-12 1.811961e-09
1.812695e-09 1.812695e-12 1.811790e-09
1.812695e-09 2.234775e-12 1.811579e-09
1.812695e-09 2.755135e-12 1.811320e-09
1.812695e-09 3.396660e-12 1.811000e-09
1.812695e-09 4.187561e-12 1.810605e-09
1.812695e-09 5.162621e-12 1.810119e-09
1.812695e-09 6.364720e-12 1.809520e-09
1.812695e-09 7.846725e-12 1.808782e-09
1.812695e-09 9.673809e-12 1.807873e-09
1.812695e-09 1.192632e-11 1.806753e-09
1.812695e-09 1.470333e-11 1.805373e-09
1.812695e-09 1.812695e-11 1.803674e-09
1.812695e-09 2.234775e-11 1.801582e-09
1.812695e-09 2.755135e-11 1.799008e-09
1.812695e-09 3.396660e-11 1.795842e-09
1.812695e-09 4.187561e-11 1.791950e-09
1.812695e-09 5.162621e-11 1.787168e-09
1.812695e-09 6.364720e-11 1.781298e-09
1.812695e-09 7.846725e-11 1.774099e-09
1.812695e-09 9.673809e-11 1.765280e-09
1.812695e-09 1.192632e-10 1.754495e-09
1.812695e-09 1.470333e-10 1.741329e-09
1.812695e-09 1.812695e-10 1.725292e-09
1.812695e-09 2.234775e-10 1.705816e-09
1.812695e-09 2.755135e-10 1.682245e-09
1.812695e-09 3.396660e-10 1.653839e-09
1.812695e-09 4.187561e-10 1.619788e-09
1.812695e-09 5.162621e-10 1.579235e-09
1.812695e-09 6.364720e-10 1.531324e-09
1.812695e-09 7.846725e-10 1.475267e-09
1.812695e-09 9.673809e-10 1.410451e-09
1.812695e-09 1.192632e-09 1.336567e-09
1.812695e-09 1.470333e-09 1.253767e-09
1.812695e-09 1.812695e-09 1.162799e-09
1.812695e-09 2.234775e-09 1.065114e-09
1.812695e-09 2.755135e-09 9.628545e-10
1.812695e-09 3.396660e-09 8.587163e-10
1.812695e-09 4.187561e-09 7.556661e-10
1.812695e-09 5.162621e-09 6.565729e-10
1.812695e-09 6.364720e-09 5.638595e-10
1.812695e-09 7.846725e-09 4.792672e-10
1.812695e-09 9.673809e-09 4.037742e-10
1.812695e-09 1.192632e-08 3.376621e-10
1.812695e-09 1.470333e-08 2.806630e-10
1.812695e-09 1.812695e-08 2.321406e-10
1.812695e-09 2.234775e-08 1.912515e-10
1.812695e-09 2.755135e-08 1.570690e-10
1.812695e-09 3.396660e-08 1.286740e-10
1.812695e-09 4.187561e-08 1.052038e-10
1.812695e-09 5.162621e-08 8.587850e-11
1.812695e-09 6.364720e-08 7.001450e-11
1.812695e-09 7.846725e-08 5.702422e-11
1.812695e-09 9.673809e-08 4.640756e-11
1.812695e-09 1.192632e-07 3.774227e-11
1.812695e-09 1.470333e-07 3.067960e-11
1.812695e-09 1.812695e-07 2.492887e-11
1.812695e-09 2.234775e-07 2.024833e-11
1.812695e-09 2.755135e-07 1.644258e-11
1.812695e-09 3.396660e-07 1.334987e-11
1.812695e-09 4.187561e-07 1.083657e-11
1.812695e-09 5.162621e-07 8.794592e-12
1.812695e-09 6.364720e-07 7.137077e-12
1.812695e-09 7.846725e-07 5.791863e-12
1.812695e-09 9.673809e-07 4.698895e-12
1.812695e-09 1.192632e-06 3.812578e-12
1.812695e-09 1.470333e-06 3.093055e-12
1.812695e-09 1.812695e-06 2.509314e-12
1.812695e-09 2.234775e-06 2.035547e-12
1.812695e-09 2.755135e-06 1.651160e-12
1.812695e-09 3.396660e-06 1.339401e-12
1.812695e-09 4.187561e-06 1.086445e-12
1.812695e-09 5.162621e-06 8.812143e-13
1.812695e-09 6.364720e-06 7.147677e-13
1.812695e-09 7.846725e-06 5.797353e-13
1.812695e-09 9.673809e-06 4.701915e-13
1.812695e-09 1.192632e-05 3.813381e-13
1.812695e-09 1.470333e-05 3.092638e-13
1.812695e-09 1.812695e-05 2.507980e-13
5.981894e-09 1.812695e-14 5.981876e-09
5.981894e-09 2.234775e-14 5.981871e-09
5.981894e-09 2.755135e-14 5.981866e-09
5.981894e-09 3.396660e-14 5.981860e-09
5.981894e-09 4.187561e-14 5.981852e-09
5.981894e-09 5.162621e-14 5.981842e-09
5.981894e-09 6.364720e-14 5.981829e-09
5.981894e-09 7.846725e-14 5.981814e-09
5.981894e-09 9.673809e-14 5.981796e-09
5.981894e-09 1.192632e-13 5.981773e-09
5.981894e-09 1.470333e-13 5.981744e-09
5.981894e-09 1.812695e-13 5.981709e-09
5.981894e-09 2.234775e-13 5.981666e-09
5.981894e-09 2.755135e-13 5.981613e-09
5.981894e-09 3.396660e-13 5.981548e-09
5.981894e-09 4.187561e-13 5.981467e-09
5.981894e-09 5.162621e-13 5.981367e-09
5.981894e-09 6.364720e-13 5.981245e-09
5.981894e-09 7.846725e-13 5.981094e-09
5.981894e-09 9.673809e-13 5.980907e-09
5.981894e-09 1.192632e-12 5.980677e-09
5.981894e-09 1.470333e-12 5.980394e-09
5.981894e-09 1.812695e-12 5.980045e-09
5.981894e-09 2.234775e-12 5.979614e-09
5.981894e-09 2.755135e-12 5.979083e-09
