#KD=    4.140000e+02 [muM]
#Ebind= 1.080000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-09 9.673809e-12 1.811868e-09
1.812695e-09 1.192632e-11 1.811675e-09
1.812695e-09 1.470333e-11 1.811438e-09
1.812695e-09 1.812695e-11 1.811145e-09
1.812695e-09 2.234775e-11 1.810785e-09
1.812695e-09 2.755135e-11 1.810341e-09
1.812695e-09 3.396660e-11 1.809794e-09
1.812695e-09 4.187561e-11 1.809120e-09
1.812695e-09 5.162621e-11 1.808289e-09
1.812695e-09 6.364720e-11 1.807266e-09
1.812695e-09 7.846725e-11 1.806007e-09
1.812695e-09 9.673809e-11 1.804456e-09
1.812695e-09 1.192632e-10 1.802548e-09
1.812695e-09 1.470333e-10 1.800201e-09
1.812695e-09 1.812695e-10 1.797315e-09
1.812695e-09 2.234775e-10 1.793769e-09
1.812695e-09 2.755135e-10 1.789417e-09
1.812695e-09 3.396660e-10 1.784078e-09
1.812695e-09 4.187561e-10 1.777538e-09
1.812695e-09 5.162621e-10 1.769539e-09
1.812695e-09 6.364720e-10 1.759771e-09
1.812695e-09 7.846725e-10 1.747870e-09
1.812695e-09 9.673809e-10 1.733409e-09
1.812695e-09 1.192632e-09 1.715894e-09
1.812695e-09 1.470333e-09 1.694763e-09
1.812695e-09 1.812695e-09 1.669391e-09
1.812695e-09 2.234775e-09 1.639100e-09
1.812695e-09 2.755135e-09 1.603185e-09
1.812695e-09 3.396660e-09 1.560946e-09
1.812695e-09 4.187561e-09 1.511747e-09
1.812695e-09 5.162621e-09 1.455082e-09
1.812695e-09 6.364720e-09 1.390664e-09
1.812695e-09 7.846725e-09 1.318511e-09
1.812695e-09 9.673809e-09 1.239040e-09
1.812695e-09 1.192632e-08 1.153111e-09
1.812695e-09 1.470333e-08 1.062050e-09
1.812695e-09 1.812695e-08 9.675888e-10
1.812695e-09 2.234775e-08 8.717535e-10
1.812695e-09 2.755135e-08 7.766920e-10
1.812695e-09 3.396660e-08 6.844838e-10
1.812695e-09 4.187561e-08 5.969597e-10
1.812695e-09 5.162621e-08 5.155684e-10
1.812695e-09 6.364720e-08 4.413051e-10
1.812695e-09 7.846725e-08 3.747064e-10
1.812695e-09 9.673809e-08 3.158932e-10
1.812695e-09 1.192632e-07 2.646561e-10
1.812695e-09 1.470333e-07 2.205406e-10
1.812695e-09 1.812695e-07 1.829365e-10
1.812695e-09 2.234775e-07 1.511555e-10
1.812695e-09 2.755135e-07 1.244895e-10
1.812695e-09 3.396660e-07 1.022498e-10
1.812695e-09 4.187561e-07 8.379269e-11
1.812695e-09 5.162621e-07 6.853959e-11
1.812695e-09 6.364720e-07 5.597690e-11
1.812695e-09 7.846725e-07 4.565973e-11
1.812695e-09 9.673809e-07 3.720457e-11
1.812695e-09 1.192632e-06 3.028987e-11
1.812695e-09 1.470333e-06 2.464387e-11
1.812695e-09 1.812695e-06 2.003795e-11
1.812695e-09 2.234775e-06 1.628579e-11
1.812695e-09 2.755135e-06 1.323142e-11
1.812695e-09 3.396660e-06 1.074668e-11
1.812695e-09 4.187561e-06 8.726200e-12
1.812695e-09 5.162621e-06 7.083989e-12
1.812695e-09 6.364720e-06 5.750107e-12
1.812695e-09 7.846725e-06 4.666705e-12
1.812695e-09 9.673809e-06 3.786970e-12
1.812695e-09 1.192632e-05 3.072825e-12
1.812695e-09 1.470333e-05 2.493172e-12
1.812695e-09 1.812695e-05 2.022725e-12
5.981894e-09 1.812695e-14 5.981890e-09
5.981894e-09 2.234775e-14 5.981889e-09
5.981894e-09 2.755135e-14 5.981887e-09
5.981894e-09 3.396660e-14 5.981886e-09
5.981894e-09 4.187561e-14 5.981884e-09
5.981894e-09 5.162621e-14 5.981881e-09
5.981894e-09 6.364720e-14 5.981878e-09
5.981894e-09 7.846725e-14 5.981874e-09
5.981894e-09 9.673809e-14 5.981869e-09
5.981894e-09 1.192632e-13 5.981864e-09
5.981894e-09 1.470333e-13 5.981857e-09
5.981894e-09 1.812695e-13 5.981848e-09
5.981894e-09 2.234775e-13 5.981837e-09
5.981894e-09 2.755135e-13 5.981824e-09
5.981894e-09 3.396660e-13 5.981807e-09
5.981894e-09 4.187561e-13 5.981787e-09
5.981894e-09 5.162621e-13 5.981762e-09
5.981894e-09 6.364720e-13 5.981731e-09
5.981894e-09 7.846725e-13 5.981693e-09
5.981894e-09 9.673809e-13 5.981646e-09
5.981894e-09 1.192632e-12 5.981588e-09
5.981894e-09 1.470333e-12 5.981517e-09
5.981894e-09 1.812695e-12 5.981429e-09
5.981894e-09 2.234775e-12 5.981321e-09
5.981894e-09 2.755135e-12 5.981187e-09
5.981894e-09 3.396660e-12 5.981023e-09
5.981894e-09 4.187561e-12 5.980820e-09
5.981894e-09 5.162621e-12 5.980570e-09
5.981894e-09 6.364720e-12 5.980261e-09
5.981894e-09 7.846725e-12 5.979881e-09
5.981894e-09 9.673809e-12 5.979413e-09
5.981894e-09 1.192632e-11 5.978835e-09
5.981894e-09 1.470333e-11 5.978123e-09
5.981894e-09 1.812695e-11 5.977245e-09
5.981894e-09 2.234775e-11 5.976164e-09
5.981894e-09 2.755135e-11 5.974831e-09
5.981894e-09 3.396660e-11 5.973189e-09
5.981894e-09 4.187561e-11 5.971165e-09
5.981894e-09 5.162621e-11 5.968671e-09
5.981894e-09 6.364720e-11 5.965600e-09
5.981894e-09 7.846725e-11 5.961817e-09
5.981894e-09 9.673809e-11 5.957159e-09
5.981894e-09 1.192632e-10 5.951425e-09
5.981894e-09 1.470333e-10 5.944369e-09
5.981894e-09 1.812695e-10 5.935690e-09
5.981894e-09 2.234775e-10 5.925021e-09
5.981894e-09 2.755135e-10 5.911913e-09
5.981894e-09 3.396660e-10 5.895824e-09
5.981894e-09 4.187561e-10 5.876092e-09
5.981894e-09 5.162621e-10 5.851925e-09
5.981894e-09 6.364720e-10 5.822369e-09
