#KD=    4.140000e+02 [muM]
#Ebind= 1.140000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812691e-10
1.812695e-10 2.234775e-14 1.812689e-10
1.812695e-10 2.755135e-14 1.812687e-10
1.812695e-10 3.396660e-14 1.812684e-10
1.812695e-10 4.187561e-14 1.812681e-10
1.812695e-10 5.162621e-14 1.812677e-10
1.812695e-10 6.364720e-14 1.812672e-10
1.812695e-10 7.846725e-14 1.812666e-10
1.812695e-10 9.673809e-14 1.812659e-10
1.812695e-10 1.192632e-13 1.812650e-10
1.812695e-10 1.470333e-13 1.812638e-10
1.812695e-10 1.812695e-13 1.812624e-10
1.812695e-10 2.234775e-13 1.812607e-10
1.812695e-10 2.755135e-13 1.812586e-10
1.812695e-10 3.396660e-13 1.812560e-10
1.812695e-10 4.187561e-13 1.812528e-10
1.812695e-10 5.162621e-13 1.812488e-10
1.812695e-10 6.364720e-13 1.812439e-10
1.812695e-10 7.846725e-13 1.812379e-10
1.812695e-10 9.673809e-13 1.812304e-10
1.812695e-10 1.192632e-12 1.812213e-10
1.812695e-10 1.470333e-12 1.812100e-10
1.812695e-10 1.812695e-12 1.811960e-10
1.812695e-10 2.234775e-12 1.811782e-10
1.812695e-10 2.755135e-12 1.811570e-10
1.812695e-10 3.396660e-12 1.811309e-10
1.812695e-10 4.187561e-12 1.810988e-10
1.812695e-10 5.162621e-12 1.810591e-10
1.812695e-10 6.364720e-12 1.810103e-10
1.812695e-10 7.846725e-12 1.809501e-10
1.812695e-10 9.673809e-12 1.808760e-10
1.812695e-10 1.192632e-11 1.807847e-10
1.812695e-10 1.470333e-11 1.806722e-10
1.812695e-10 1.812695e-11 1.805338e-10
1.812695e-10 2.234775e-11 1.803634e-10
1.812695e-10 2.755135e-11 1.801537e-10
1.812695e-10 3.396660e-11 1.798959e-10
1.812695e-10 4.187561e-11 1.795791e-10
1.812695e-10 5.162621e-11 1.791900e-10
1.812695e-10 6.364720e-11 1.787126e-10
1.812695e-10 7.846725e-11 1.781276e-10
1.812695e-10 9.673809e-11 1.774112e-10
1.812695e-10 1.192632e-10 1.765356e-10
1.812695e-10 1.470333e-10 1.754678e-10
1.812695e-10 1.812695e-10 1.741686e-10
1.812695e-10 2.234775e-10 1.725926e-10
1.812695e-10 2.755135e-10 1.706876e-10
1.812695e-10 3.396660e-10 1.683951e-10
1.812695e-10 4.187561e-10 1.656504e-10
1.812695e-10 5.162621e-10 1.623852e-10
1.812695e-10 6.364720e-10 1.585295e-10
1.812695e-10 7.846725e-10 1.540168e-10
