         #Lp        Ebind     Ebinderr     Rsquared
    1.662111     8.906784     0.191890     0.972755
    1.670352     8.885886     0.191624     0.972774
    1.678593     8.865119     0.191379     0.972789
    1.686834     8.844486     0.191160     0.972801
    1.695075     8.823957     0.190972     0.972808
    1.703317     8.803560     0.190806     0.972811
    1.711558     8.783270     0.190672     0.972809
    1.719799     8.763091     0.190568     0.972802
    1.728040     8.743017     0.190497     0.972790
    1.736281     8.723048     0.190459     0.972772
    1.744523     8.703177     0.190458     0.972747
    1.752764     8.683394     0.190492     0.972717
    1.761005     8.663701     0.190563     0.972679
    1.769246     8.644092     0.190678     0.972634
    1.777487     8.624565     0.190833     0.972581
    1.785729     8.605107     0.191032     0.972521
    1.793970     8.585722     0.191278     0.972451
    1.802211     8.566398     0.191573     0.972372
    1.810452     8.547132     0.191916     0.972284
    1.818693     8.527920     0.192313     0.972185
    1.826935     8.508755     0.192764     0.972075
    1.835176     8.489630     0.193273     0.971954
    1.843417     8.470533     0.193842     0.971820
    1.851658     8.451476     0.194473     0.971674
    1.859899     8.432433     0.195172     0.971513
    1.868141     8.413399     0.195939     0.971338
    1.876382     8.394374     0.196778     0.971147
    1.884623     8.375343     0.197692     0.970940
    1.892864     8.356306     0.198687     0.970715
    1.901106     8.337240     0.199762     0.970472
    1.909347     8.318152     0.200924     0.970209
    1.917588     8.299020     0.202175     0.969925
    1.925829     8.279832     0.203523     0.969620
    1.934070     8.260596     0.204964     0.969291
    1.942312     8.241281     0.206510     0.968938
    1.950553     8.221884     0.208159     0.968560
    1.958794     8.202390     0.209920     0.968154
    1.967035     8.182784     0.211793     0.967721
    1.975276     8.163056     0.213783     0.967257
    1.983518     8.143195     0.215894     0.966763
    1.991759     8.123180     0.218130     0.966236
    2.000000     8.103003     0.220495     0.965676
