         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    17.725214     0.138951     0.985992
    0.368241    17.453861     0.149280     0.980825
    0.376482    17.215228     0.165266     0.975177
    0.384724    16.967697     0.163914     0.969840
    0.392965    16.743025     0.178653     0.965392
    0.401206    16.529476     0.177690     0.962075
    0.409447    16.343586     0.180984     0.959977
    0.417688    16.187269     0.184081     0.959068
    0.425930    16.043024     0.182736     0.959224
    0.434171    15.917512     0.184322     0.960298
    0.442412    15.808049     0.182598     0.962103
    0.450653    15.713344     0.180476     0.964421
    0.458894    15.629998     0.177017     0.967022
    0.467136    15.557439     0.176142     0.969675
    0.475377    15.490070     0.173315     0.972162
    0.483618    15.424393     0.174453     0.974302
    0.491859    15.360307     0.173797     0.975975
    0.500101    15.293147     0.176302     0.977136
    0.508342    15.221112     0.180241     0.977831
    0.516583    15.140428     0.182846     0.978176
    0.524824    15.058045     0.189175     0.978323
    0.533065    14.968384     0.192830     0.978398
    0.541307    14.875895     0.193787     0.978471
    0.549548    14.782048     0.196632     0.978555
    0.557789    14.688427     0.197415     0.978620
    0.566030    14.595724     0.197033     0.978618
    0.574271    14.505339     0.198636     0.978499
    0.582513    14.416966     0.199868     0.978215
    0.590754    14.329983     0.202562     0.977724
    0.598995    14.245700     0.205079     0.976985
    0.607236    14.163242     0.209702     0.975977
    0.615477    14.083218     0.214473     0.974754
    0.623719    14.005529     0.219352     0.973407
    0.631960    13.923600     0.223869     0.972044
    0.640201    13.844777     0.227015     0.970773
    0.648442    13.765933     0.229131     0.969699
    0.656683    13.687163     0.229618     0.968910
    0.664925    13.607861     0.228547     0.968467
    0.673166    13.529318     0.226100     0.968407
    0.681407    13.452623     0.222862     0.968753
    0.689648    13.379554     0.218647     0.969530
    0.697889    13.309950     0.213933     0.970778
    0.706131    13.246571     0.208358     0.972534
    0.714372    13.185681     0.201628     0.974688
    0.722613    13.126629     0.193947     0.977046
    0.730854    13.067120     0.185273     0.979414
    0.739095    13.006629     0.176284     0.981615
    0.747337    12.943950     0.167483     0.983500
    0.755578    12.881386     0.160089     0.984970
    0.763819    12.818989     0.154254     0.986045
    0.772060    12.757703     0.149870     0.986793
    0.780302    12.697701     0.146792     0.987273
    0.788543    12.639063     0.145043     0.987531
    0.796784    12.581740     0.144292     0.987600
    0.805025    12.525772     0.144468     0.987508
    0.813266    12.470737     0.145325     0.987279
    0.821508    12.416383     0.146748     0.986930
    0.829749    12.362593     0.148607     0.986480
    0.837990    12.309076     0.150715     0.985946
    0.846231    12.255163     0.152954     0.985344
    0.854472    12.201085     0.155285     0.984692
    0.862714    12.146603     0.157432     0.984012
    0.870955    12.091710     0.159511     0.983325
    0.879196    12.036604     0.161347     0.982657
    0.887437    11.981592     0.162906     0.982037
    0.895678    11.927203     0.164171     0.981500
    0.903920    11.873910     0.165082     0.981078
    0.912161    11.822164     0.165723     0.980785
    0.920402    11.772125     0.166069     0.980612
    0.928643    11.723696     0.166298     0.980541
    0.936884    11.676851     0.166344     0.980553
    0.945126    11.631381     0.166326     0.980627
    0.953367    11.587219     0.166352     0.980741
    0.961608    11.544004     0.166391     0.980874
    0.969849    11.501560     0.166514     0.981007
    0.978090    11.459679     0.166773     0.981126
    0.986332    11.418261     0.167116     0.981218
    0.994573    11.376927     0.167615     0.981274
    1.002814    11.335799     0.168274     0.981289
    1.011055    11.294792     0.169080     0.981263
    1.019296    11.253826     0.170006     0.981201
    1.027538    11.213054     0.170983     0.981106
    1.035779    11.172397     0.172068     0.980982
    1.044020    11.131911     0.173225     0.980832
    1.052261    11.091608     0.174439     0.980659
    1.060503    11.051518     0.175696     0.980466
    1.068744    11.011648     0.176971     0.980257
    1.076985    10.972002     0.178305     0.980032
    1.085226    10.932613     0.179630     0.979796
    1.093467    10.893482     0.180953     0.979549
    1.101709    10.854622     0.182293     0.979293
    1.109950    10.816045     0.183615     0.979031
    1.118191    10.777763     0.184906     0.978764
    1.126432    10.739765     0.186196     0.978493
    1.134673    10.702091     0.187451     0.978220
    1.142915    10.664728     0.188665     0.977946
    1.151156    10.627666     0.189855     0.977672
    1.159397    10.590944     0.191005     0.977399
    1.167638    10.554531     0.192121     0.977129
    1.175879    10.518450     0.193189     0.976861
    1.184121    10.482706     0.194200     0.976597
    1.192362    10.447297     0.195181     0.976337
    1.200603    10.412218     0.196113     0.976083
    1.208844    10.377470     0.196988     0.975834
    1.217085    10.343082     0.197798     0.975591
    1.225327    10.309038     0.198571     0.975355
    1.233568    10.275274     0.199307     0.975126
    1.241809    10.241891     0.199972     0.974905
    1.250050    10.208896     0.200577     0.974691
    1.258291    10.176108     0.201159     0.974486
    1.266533    10.143693     0.201684     0.974288
    1.274774    10.111652     0.202145     0.974100
    1.283015    10.079908     0.202571     0.973920
    1.291256    10.048503     0.202929     0.973749
    1.299497    10.017395     0.203255     0.973586
    1.307739     9.986655     0.203524     0.973433
    1.315980     9.956210     0.203752     0.973289
    1.324221     9.926047     0.203939     0.973154
    1.332462     9.896218     0.204082     0.973028
    1.340704     9.866689     0.204171     0.972911
    1.348945     9.837461     0.204230     0.972802
    1.357186     9.808533     0.204241     0.972703
    1.365427     9.779895     0.204227     0.972612
    1.373668     9.751552     0.204156     0.972530
    1.381910     9.723491     0.204066     0.972456
    1.390151     9.695708     0.203934     0.972390
    1.398392     9.668205     0.203776     0.972332
    1.406633     9.640960     0.203579     0.972282
    1.414874     9.614008     0.203360     0.972239
    1.423116     9.587306     0.203113     0.972203
    1.431357     9.560862     0.202838     0.972174
    1.439598     9.534671     0.202541     0.972152
    1.447839     9.508728     0.202222     0.972136
    1.456080     9.483056     0.201875     0.972126
    1.464322     9.457569     0.201521     0.972121
    1.472563     9.432343     0.201142     0.972122
    1.480804     9.407349     0.200753     0.972128
    1.489045     9.382591     0.200349     0.972138
    1.497286     9.358035     0.199935     0.972153
    1.505528     9.333706     0.199510     0.972171
    1.513769     9.309589     0.199076     0.972193
    1.522010     9.285678     0.198641     0.972218
    1.530251     9.261958     0.198200     0.972245
    1.538492     9.238456     0.197754     0.972275
    1.546734     9.215141     0.197308     0.972307
    1.554975     9.192020     0.196863     0.972340
    1.563216     9.169078     0.196418     0.972375
    1.571457     9.146324     0.195979     0.972410
    1.579698     9.123737     0.195551     0.972446
    1.587940     9.101331     0.195122     0.972482
    1.596181     9.079091     0.194706     0.972518
    1.604422     9.057014     0.194305     0.972553
    1.612663     9.035113     0.193909     0.972587
    1.620905     9.013352     0.193530     0.972620
    1.629146     8.991747     0.193168     0.972652
    1.637387     8.970290     0.192818     0.972681
    1.645628     8.948980     0.192491     0.972709
    1.653869     8.927815     0.192180     0.972733
