         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    24.220559     0.000202     1.000000
    0.393469    22.853467     0.000745     1.000000
    0.426939    21.664319     0.002382     1.000000
    0.460408    20.610480     0.006018     1.000000
    0.493878    19.682176     0.013222     1.000000
    0.527347    18.888696     0.039332     1.000000
    0.560816    18.137600     0.073416     1.000000
    0.594286    17.503374     0.087907     1.000000
    0.627755    16.941190     0.052246     1.000000
    0.661224    16.442448     0.074604     1.000000
    0.694694    15.995016     0.070310     1.000000
    0.728163    15.584366     0.068679     1.000000
    0.761633    15.201557     0.066901     1.000000
    0.795102    14.840571     0.072563     1.000000
    0.828571    14.505101     0.072579     1.000000
    0.862041    14.199883     0.073825     1.000000
    0.895510    13.928986     0.070390     1.000000
    0.928980    13.668083     0.068377     1.000000
    0.962449    13.410512     0.068199     1.000000
    0.995918    13.160527     0.069320     1.000000
    1.029388    12.923588     0.071615     1.000000
    1.062857    12.699787     0.073166     1.000000
    1.096327    12.488772     0.074416     1.000000
    1.129796    12.289871     0.075521     1.000000
    1.163265    12.102488     0.076118     1.000000
    1.196735    11.925066     0.081569     1.000000
    1.230204    11.763208     0.070569     1.000000
    1.263673    11.602748     0.070910     1.000000
    1.297143    11.455096     0.074934     1.000000
    1.330612    11.315951     0.073884     1.000000
    1.364082    11.184727     0.069802     1.000000
    1.397551    11.060853     0.071627     1.000000
    1.431020    10.943729     0.070344     1.000000
    1.464490    10.832772     0.069178     1.000000
    1.497959    10.727364     0.068020     1.000000
    1.531429    10.626934     0.066989     1.000000
    1.564898    10.530736     0.066128     1.000000
    1.598367    10.438251     0.065465     1.000000
    1.631837    10.348804     0.064977     1.000000
    1.665306    10.261768     0.064755     1.000000
    1.698776    10.176502     0.064721     1.000000
    1.732245    10.092383     0.064824     1.000000
    1.765714    10.008792     0.065069     1.000000
    1.799184     9.925118     0.065471     1.000000
    1.832653     9.840761     0.065943     1.000000
    1.866122     9.755130     0.066605     1.000000
    1.899592     9.667634     0.067453     1.000000
    1.933061     9.577718     0.068603     1.000000
    1.966531     9.484862     0.070226     1.000000
    2.000000     9.388585     0.072456     1.000000
