         #Lp        Ebind     Ebinderr     Rsquared
    1.604422     8.989942     0.110359     0.976127
    1.612663     8.968577     0.110164     0.976135
    1.620905     8.947363     0.109976     0.976142
    1.629146     8.926288     0.109795     0.976147
    1.637387     8.905359     0.109624     0.976150
    1.645628     8.884572     0.109463     0.976151
    1.653869     8.863925     0.109313     0.976148
    1.662111     8.843416     0.109177     0.976143
    1.670352     8.823043     0.109054     0.976135
    1.678593     8.802807     0.108947     0.976123
    1.686834     8.782701     0.108855     0.976108
    1.695075     8.762733     0.108781     0.976088
    1.703317     8.742894     0.108726     0.976064
    1.711558     8.723190     0.108691     0.976036
    1.719799     8.703613     0.108677     0.976003
    1.728040     8.684161     0.108685     0.975965
    1.736281     8.664846     0.108717     0.975922
    1.744523     8.645656     0.108774     0.975873
    1.752764     8.626591     0.108858     0.975818
    1.761005     8.607647     0.108969     0.975757
    1.769246     8.588831     0.109110     0.975689
    1.777487     8.570138     0.109282     0.975614
    1.785729     8.551563     0.109486     0.975531
    1.793970     8.533109     0.109724     0.975440
    1.802211     8.514769     0.109998     0.975341
    1.810452     8.496544     0.110311     0.975233
    1.818693     8.478430     0.110663     0.975115
    1.826935     8.460423     0.111056     0.974987
    1.835176     8.442526     0.111495     0.974847
    1.843417     8.424722     0.111979     0.974696
    1.851658     8.407018     0.112512     0.974533
    1.859899     8.389398     0.113096     0.974356
    1.868141     8.371865     0.113734     0.974164
    1.876382     8.354411     0.114429     0.973957
    1.884623     8.337021     0.115183     0.973734
    1.892864     8.319698     0.115999     0.973493
    1.901106     8.302424     0.116880     0.973234
    1.909347     8.285193     0.117829     0.972954
    1.917588     8.267988     0.118850     0.972653
    1.925829     8.250805     0.119945     0.972330
    1.934070     8.233624     0.121118     0.971982
    1.942312     8.216434     0.122371     0.971609
    1.950553     8.199217     0.123708     0.971209
    1.958794     8.181954     0.125131     0.970781
    1.967035     8.164630     0.126643     0.970323
    1.975276     8.147223     0.128248     0.969834
    1.983518     8.129712     0.129946     0.969313
    1.991759     8.112075     0.131740     0.968757
    2.000000     8.094290     0.133632     0.968166
