         #Lp        Ebind     Ebinderr     Rsquared
    1.604422     8.906381     0.103009     0.980834
    1.612663     8.885795     0.103165     0.980725
    1.620905     8.865350     0.103325     0.980613
    1.629146     8.845044     0.103491     0.980500
    1.637387     8.824878     0.103666     0.980383
    1.645628     8.804849     0.103851     0.980262
    1.653869     8.784956     0.104048     0.980138
    1.662111     8.765201     0.104260     0.980010
    1.670352     8.745582     0.104487     0.979877
    1.678593     8.726100     0.104733     0.979739
    1.686834     8.706755     0.104999     0.979596
    1.695075     8.687549     0.105288     0.979447
    1.703317     8.668482     0.105602     0.979291
    1.711558     8.649556     0.105943     0.979129
    1.719799     8.630772     0.106313     0.978960
    1.728040     8.612132     0.106714     0.978782
    1.736281     8.593637     0.107150     0.978597
    1.744523     8.575290     0.107622     0.978403
    1.752764     8.557093     0.108133     0.978200
    1.761005     8.539046     0.108686     0.977987
    1.769246     8.521154     0.109283     0.977764
    1.777487     8.503417     0.109928     0.977530
    1.785729     8.485837     0.110624     0.977284
    1.793970     8.468416     0.111372     0.977026
    1.802211     8.451157     0.112178     0.976755
    1.810452     8.434059     0.113043     0.976471
    1.818693     8.417125     0.113972     0.976172
    1.826935     8.400356     0.114969     0.975858
    1.835176     8.383752     0.116037     0.975528
    1.843417     8.367313     0.117180     0.975180
    1.851658     8.351039     0.118402     0.974814
    1.859899     8.334929     0.119709     0.974429
    1.868141     8.318983     0.121104     0.974024
    1.876382     8.303197     0.122593     0.973597
    1.884623     8.287570     0.124181     0.973148
    1.892864     8.272097     0.125871     0.972674
    1.901106     8.256774     0.127671     0.972174
    1.909347     8.241596     0.129586     0.971648
    1.917588     8.226555     0.131620     0.971094
    1.925829     8.211643     0.133779     0.970510
    1.934070     8.196851     0.136070     0.969895
    1.942312     8.182167     0.138497     0.969246
    1.950553     8.167579     0.141067     0.968564
    1.958794     8.153071     0.143783     0.967846
    1.967035     8.138627     0.146652     0.967091
    1.975276     8.124227     0.149678     0.966298
    1.983518     8.109848     0.152865     0.965465
    1.991759     8.095467     0.156216     0.964592
    2.000000     8.081056     0.159735     0.963677
